shoe_name,category,original_price,discounted_price,color_count,review_count,website,star_count,size_count,product_code,comfort,durability,color 1,color 2,color 3,color 4,color 5,0,1,2,3,4
Columbia Women Purple RE-PEAK MID,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL6940-553,,,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,,,,,,
Columbia Women Black HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,39.0,Columbia Sportswear,4.0,5.0,BL0659-012,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-089,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-010,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,35.0,Columbia Sportswear,4.0,5.0,BL0659-271,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,32.0,Columbia Sportswear,5.0,5.0,BL5953-012,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Grey PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-036,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black Peakfreak II Outdry (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-005,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Blue Peakfreak II Outdry (Complete Waterproof),Women,"8,999","9,999",4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-471,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,32.0,Columbia Sportswear,5.0,5.0,BL5953-012,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Grey PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-036,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black Peakfreak II Outdry (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-005,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Blue Peakfreak II Outdry (Complete Waterproof),Women,"8,999","9,999",4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-471,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Grey Facet 75 Mid Outdry (Complete Waterproof),Women,"15,999",,2.0,15.0,Columbia Sportswear,5.0,5.0,BL7615-088,,,"Steam, Frosted Purple","Shale Mauve, Graphite",,,,,,,,
Columbia Women Purple Facet 75 Mid Outdry (Complete Waterproof),Women,"15,999",,2.0,15.0,Columbia Sportswear,5.0,5.0,BL7615-553,,,"Steam, Frosted Purple","Shale Mauve, Graphite",,,,,,,,
Columbia Women Black TRAILSTORM MID OMNI HEAT Water Resistant Shoes,Women,"12,999",,0.0,44.0,Columbia Sportswear,4.0,5.0,BL8089-010,,,,,,,,,,,,
Columbia Women Red SUN TREK FLIP,Women,"1,999",,0.0,10.0,Columbia Sportswear,5.0,5.0,BL5786-656,,,,,,,,,,,,
Columbia Women Black MINX SLIP IV Water Resistant Shoes,Women,"10,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL9797-010,,,"Black, Graphite","Sea Salt, Light Cloud",,,,,,,,
Columbia Women White MINX SLIP IV Water Resistant Shoes,Women,"10,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL9797-125,,,"Black, Graphite","Sea Salt, Light Cloud",,,,,,,,
Columbia Women White Hood River Slide,Women,"2,699","2,999",0.0,0.0,Columbia Sportswear,0.0,5.0,BL0166-100,,,,,,,,,,,,
Columbia Women Black PEAKFREAK X2 OUTDRY (Complete Waterproof),Women,"8,999","9,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL0829-010,,,Black,"Marionberry, Snowcap",,,,,,,,
Columbia Women Red PEAKFREAK X2 OUTDRY (Complete Waterproof),Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL0829-616,,,Black,"Marionberry, Snowcap",,,,,,,,
Columbia Women Black TRAILSTORM Water Resistant Shoes,Women,"8,999",,3.0,0.0,Columbia Sportswear,0.0,5.0,BL0156-010,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Grey TRAILSTORM Water Resistant Shoes,Women,"7,199","8,999",3.0,0.0,Columbia Sportswear,0.0,5.0,BL0156-053,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women White TRAILSTORM Water Resistant Shoes,Women,"8,999",,3.0,1.0,Columbia Sportswear,5.0,5.0,BL0156-193,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Purple Plateau Water Resistant Shoes,Women,"8,999",,0.0,0.0,Columbia Sportswear,0.0,5.0,BL7516-553,,,,,,,,,,,,
Columbia Women BROWN Plateau Venture,Women,"7,199","7,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL4497-247,,,"Canvas Tan, Blue Dusk","Shale Mauve, Peatmoss",,,,,,,,
Columbia Women PURPLE Plateau Venture,Women,"7,199","7,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL4497-553,,,"Canvas Tan, Blue Dusk","Shale Mauve, Peatmoss",,,,,,,,
Columbia Women Black TRAILSTORM MID Water Resistant Shoes,Women,"8,999","9,999",3.0,38.0,Columbia Sportswear,4.0,8.0,BL0155-012,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Grey TRAILSTORM MID Water Resistant Shoes,Women,"6,999","9,999",3.0,38.0,Columbia Sportswear,4.0,5.0,BL0155-053,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Red TRAILSTORM MID Water Resistant Shoes,Women,"9,999",,3.0,38.0,Columbia Sportswear,4.0,5.0,BL0155-616,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Black PEAKFREAK X2 OUTDRY (Complete Waterproof),Women,"8,999","9,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL0829-010,,,Black,"Marionberry, Snowcap",,,,,,,,
Columbia Women Red PEAKFREAK X2 OUTDRY (Complete Waterproof),Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL0829-616,,,Black,"Marionberry, Snowcap",,,,,,,,
Columbia Women Black FACET 75 OUTDRY (Complete Waterproof),Women,"14,999",,0.0,0.0,Columbia Sportswear,0.0,5.0,BL8538-010,,,,,,,,,,,,
Columbia Women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-089,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Black Peakfreak II Mid Outdry (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-010,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Green Peakfreak II Mid Outdry (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-302,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Black PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,32.0,Columbia Sportswear,5.0,5.0,BL5953-012,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Grey PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-036,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black Peakfreak II Outdry (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-005,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Blue Peakfreak II Outdry (Complete Waterproof),Women,"8,999","9,999",4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-471,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black RE-PEAK MID,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL6940-005,,,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,,,,,,
Columbia Women Purple RE-PEAK MID,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL6940-553,,,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,,,,,,
Columbia Women Black TRAILSTORM MID Water Resistant Shoes,Women,"8,999","9,999",3.0,38.0,Columbia Sportswear,4.0,8.0,BL0155-012,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Grey TRAILSTORM MID Water Resistant Shoes,Women,"6,999","9,999",3.0,38.0,Columbia Sportswear,4.0,5.0,BL0155-053,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Red TRAILSTORM MID Water Resistant Shoes,Women,"9,999",,3.0,38.0,Columbia Sportswear,4.0,5.0,BL0155-616,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Black Crestwood Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5372-006,,,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Brown Crestwood Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5372-275,,,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Black HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,39.0,Columbia Sportswear,4.0,5.0,BL0659-012,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-089,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-010,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,35.0,Columbia Sportswear,4.0,5.0,BL0659-271,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown REDMOND V2 Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL0834-227,,,Pebble,Ti Grey,,,,,,,,
Columbia Women Grey REDMOND V2 Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL0834-033,,,Pebble,Ti Grey,,,,,,,,
Columbia Women Black TRAILSTORM Water Resistant Shoes,Women,"8,999",,3.0,0.0,Columbia Sportswear,0.0,5.0,BL0156-010,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Grey TRAILSTORM Water Resistant Shoes,Women,"7,199","8,999",3.0,0.0,Columbia Sportswear,0.0,5.0,BL0156-053,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women White TRAILSTORM Water Resistant Shoes,Women,"8,999",,3.0,1.0,Columbia Sportswear,5.0,5.0,BL0156-193,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Black TRAILSTORM Water Resistant Shoes,Women,"8,999",,3.0,0.0,Columbia Sportswear,0.0,5.0,BL0156-010,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Grey TRAILSTORM Water Resistant Shoes,Women,"7,199","8,999",3.0,0.0,Columbia Sportswear,0.0,5.0,BL0156-053,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women White TRAILSTORM Water Resistant Shoes,Women,"8,999",,3.0,1.0,Columbia Sportswear,5.0,5.0,BL0156-193,,,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Black STRATA TRAIL MID WP,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,6.0,YL8651-010,,,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Grey STRATA TRAIL MID WP,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,6.0,YL8651-033,,,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Black STRATA TRAIL MID WP,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,6.0,YL8651-010,,,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Grey STRATA TRAIL MID WP,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,6.0,YL8651-033,,,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Black HEAVENLY OMNI HEAT Water Resistant Shoes,Women,"8,999",,1.0,0.0,Columbia Sportswear,0.0,5.0,BL1661-010,,,Black,,,,,,,,,
Columbia Women NEWTON RIDGE PLUS OMNI HEAT,Women,"10,999",,0.0,0.0,Columbia Sportswear,0.0,5.0,BL0933-472,,,,,,,,,,,,
Columbia Women Brown REDMOND V2 Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL0834-227,,,Pebble,Ti Grey,,,,,,,,
Columbia Women Grey REDMOND V2 Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL0834-033,,,Pebble,Ti Grey,,,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,Women,"7,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5371-055,,,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,Women,"7,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5371-053,,,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Black Crestwood Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5372-006,,,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Brown Crestwood Water Resistant Shoes,Women,"6,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5372-275,,,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Blue NEWTON RIDGE PLUS AMPED DESERT NIGHT Water Resistant Shoes,Women,"13,999",,0.0,0.0,Columbia Sportswear,0.0,5.0,BL8916-466,,,,,,,,,,,,
Columbia Women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-089,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Black Peakfreak II Mid Outdry (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-010,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Green Peakfreak II Mid Outdry (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-302,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-089,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Black Peakfreak II Mid Outdry (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-010,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Green Peakfreak II Mid Outdry (Complete Waterproof),Women,"10,499",,3.0,22.0,Columbia Sportswear,5.0,5.0,BL7573-302,,,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,Women,"7,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5371-055,,,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,Women,"7,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL5371-053,,,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Grey Escape Thrive Endure (Complete Waterproof),Women,"12,999",,0.0,0.0,Columbia Sportswear,0.0,5.0,BL4980-099,,,,,,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,YL5934-005,,,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,YL5934-010,,,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Grey Facet 75 Mid Outdry (Complete Waterproof),Women,"15,999",,2.0,15.0,Columbia Sportswear,5.0,5.0,BL7615-088,,,"Steam, Frosted Purple","Shale Mauve, Graphite",,,,,,,,
Columbia Women Purple Facet 75 Mid Outdry (Complete Waterproof),Women,"15,999",,2.0,15.0,Columbia Sportswear,5.0,5.0,BL7615-553,,,"Steam, Frosted Purple","Shale Mauve, Graphite",,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,YL5934-005,,,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,YL5934-010,,,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Black TRAILSTORM MID Water Resistant Shoes,Women,"8,999","9,999",3.0,38.0,Columbia Sportswear,4.0,8.0,BL0155-012,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Grey TRAILSTORM MID Water Resistant Shoes,Women,"6,999","9,999",3.0,38.0,Columbia Sportswear,4.0,5.0,BL0155-053,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Red TRAILSTORM MID Water Resistant Shoes,Women,"9,999",,3.0,38.0,Columbia Sportswear,4.0,5.0,BL0155-616,,,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Brown SLOPESIDE PEAK LUXE Water Resistant Shoes,Women,"9,999",,1.0,0.0,Columbia Sportswear,0.0,5.0,BL5106-279,,,"Dark Stone, Sea Salt",,,,,,,,,
Columbia Men Black TRAILSTORM PEAK MID,Men,"10,399","12,999",2.0,32.0,Columbia Sportswear,5.0,5.0,BM5578-005,,,"Kettle, Black","Cordovan, Black",,,,,,,,
Columbia Men Brown TRAILSTORM PEAK MID,Men,"10,399","12,999",2.0,31.0,Columbia Sportswear,5.0,6.0,BM5578-231,,,"Kettle, Black","Cordovan, Black",,,,,,,,
